Weeks Charted,Weeks Top 40,Weeks Top 10,Weeks at Peak,Highest Chart,Artist,Album,Track,Time
10,0,0,1,70,Nero,Welcome Reality/Me and You - Single,Promises,4:28:00
13,0,0,1,64,Wale,MGM Presents: Self Made Vol. 2,Bag Of Money,4:06:00
1,0,0,1,95,Linkin Park,Living Things,Lost In The Echo,3:25:00
1,0,0,1,97,BTR,Elevate,Windows Down,3:12:00
11,0,0,1,70,Zac Brown Band,Uncaged,The Wind,2:56:00
24,22,11,3,5,P!nk,Truth About Love,Blow Me (One Last Kiss),4:15:00
16,0,0,1,57,Tim McGraw,s,Truck Yeah,3:27:00
2,0,0,1,78,DJ Khaled,s,I Wish You Would,3:58:00
20,0,0,1,43,Trey Songz,s,2 Reasons,3:19:00
2,0,0,1,89,Pitbull,s,Get It Started,4:05:00
23,6,0,1,32,Frank Ocean,Channel ORANGE,Thinkin Bout You,3:20:00
22,8,0,1,36,French Montana,s,Pop That,5:04:00
4,0,0,1,93,Thomas Rhett,s,Something To Do With My Hands,3:20:00
23,8,0,1,17,Ed Sheeran,+ (Deluxe Version),The A Team,4:18:00
20,13,0,1,20,Train,California 37,50 Ways To Say Goodbye,4:07:00
10,0,0,1,82,Big & Rich,s,That's Why I Pray,4:01:00
20,11,0,1,12,Jason Aldean,s,Take A Little Ride,3:09:00
8,1,0,1,34,No Doubt,s,Settle Down,6:01:00
1,0,0,1,77,T.I.,s,Go Get It,3:37:00
2,0,0,1,78,"Killers, The",s,Runaways,4:03:00
1,0,0,1,95,Dave Matthews Band,s,Mercy,4:40:00
1,0,0,1,89,Pusha T,s,New God Flow,4:54:00
19,0,0,1,47,2 Chainz,Based On A T.R.U. Story,Birthday Song,5:09:00
18,10,0,1,15,Nicki Minaj,Pink Friday - Roman Reloaded ,Pound The Alarm,3:25:00
19,0,0,1,47,Miranda Lambert,Four The Record (Deluxe Edition),Fastest Girl In Town,3:17:00
20,0,0,1,52,Rascal Flatts,Changed (Deluxe Edition),Come Wake Me Up,4:23:00
4,0,0,1,92,Chris Young,Neon (Deluxe Edition),Neon,3:44:00
1,0,0,1,79,50 Cent,s,New Day,4:24:00
20,14,0,2,17,Miguel,Kaleidoscope Dream: The Water Preview - Single,Adorn,3:14:00
11,0,0,1,71,Rick Ross,"God Forgives, I Don't",Diced Pineapples,4:36:00
16,0,0,1,55,Imagine Dragons,Continued Silence - EP,Radioactive,3:07:00
9,0,0,1,84,Keyshia Cole,s,Enough Of No Love,3:48:00
20,14,8,1,6,Ne-Yo,s,Let Me Love You (Until You Learn To Love Yourself),4:14:00
18,8,0,1,17,Kendrick Lamar,s,Swimming Pools (Drank),4:07:00
19,13,0,1,23,Mumford & Sons,Babel,I Will Wait,4:36:00
19,18,13,3,1,Taylor Swift,Red,We Are Never Ever Getting Back Together,3:11:00
19,0,0,1,50,Future,Pluto,Turn On The Lights,4:09:00
19,0,0,5,51,Jake Owen,Barefoot Blue Jean Night,The One That Got Away,3:14:00
4,0,0,2,94,Lady Antebellum,Own The Night,Wanted You More,4:02:00
4,0,0,2,97,Green Day,s,Oh Love,5:02:00
1,0,0,1,80,2 Chainz,Based On A T.R.U. Story,Yuck!,4:47:00
1,0,0,1,92,Lupe Fiasco,s,Lamborghini Angels,3:20:00
14,0,0,1,65,Brandy,s,Put It Down,4:08:00
18,10,0,2,16,Florida Georgia Line,It's Just What We Do - EP,Cruise,3:29:00
17,0,0,1,60,Muse,s,Madness,4:39:00
12,3,0,1,36,"Script, The",s,Hall Of Fame,3:22:00
17,5,0,1,29,Luke Bryan,Tailgates & Tanlines,Kiss Tomorrow Goodbye,3:23:00
12,0,0,1,77,Trey Songz,Chapter V (Deluxe Edition),Dive In,4:12:00
17,0,0,1,56,Eric Church,Chief,Creepin',3:52:00
1,0,0,1,98,Slaughterhouse,Welcome To: Our House (Deluxe Version),Throw That,3:57:00
3,0,0,1,73,Chief Keef,Back From The Dead,I Don't Like,4:55:00
16,4,0,1,36,OneRepublic,s,Feel Again,3:05:00
1,0,0,1,73,Lupe Fiasco,s,Battle Scars,4:09:00
8,0,0,2,62,Karmin,Hello,Hello,3:56:00
7,0,0,1,92,Jerrod Niemann,s,Shinin' On Me,3:14:00
11,4,0,1,13,Macklemore,s,Thrift Shop,3:55:00
16,0,0,2,85,Passion Pit,Gossamer,Take A Walk,4:24:00
9,0,0,1,88,Kelly Rowland,s,Ice,4:08:00
2,2,0,1,16,Taylor Swift,s,Ronan,4:25:00
15,10,0,1,11,Alicia Keys,Girl On Fire,Girl On Fire,4:30:00
15,14,0,1,12,Kanye West,Kanye West Presents: Good Music Cruel Summer,Clique,4:53:00
15,14,11,7,2,Psy,s,Gangnam Style,3:39:00
15,2,0,2,39,Lil Wayne,s,No Worries,3:42:00
15,0,0,1,78,Beyonce,4 (Deluxe Edition),Dance For You,6:17:00
14,6,0,1,29,Juicy J,s,Bandz A Make Her Dance,4:40:00
1,0,0,1,79,Lifehouse,s,Between The Raindrops,4:46:00
1,0,0,1,86,Carly Rae Jepsen,Kiss (Deluxe),This Kiss,3:48:00
14,7,0,1,24,Enrique Iglesias,,Finally Found You,3:40:00
1,0,0,1,95,Glee Cast,s,It's Time,3:44:00
2,0,0,2,96,Olly Murs,s,Heart Skips A Beat,3:21:00
14,0,0,1,51,Justin Moore,Outlaws Like Me,Til My Last Day,3:54:00
9,1,0,1,34,Christina Aguilera,s,Your Body,4:00:00
8,4,0,1,14,P!nk,Truth About Love,Try,4:07:00
13,5,0,1,12,Swedish House Mafia,s,Don't You Worry Child,3:32:00
2,0,0,1,70,Kanye West,Kanye West Presents: Good Music Cruel Summer,To The World,3:50:00
6,0,0,1,82,Game,s,Celebration,4:49:00
1,0,0,1,87,Carly Rae Jepsen,Kiss,Beautiful,3:17:00
7,0,0,1,69,Usher,Looking 4 Myself (Deluxe Version),Numb,3:45:00
13,0,0,1,51,Kip Moore,Up All Night (Deluxe Edition),Beer Money,3:38:00
13,0,0,1,66,Greg Bates,Greg Bates - EP,Did It For The Girl,3:11:00
11,1,1,1,7,Taylor Swift,Red,Begin Again,3:57:00
12,12,10,2,2,Ke$ha,s,Die Young,3:33:00
12,12,9,3,1,Rihanna,s,Diamonds,3:45:00
5,0,0,1,60,Mumford & Sons,Babel (Deluxe Edition),Babel,3:27:00
12,9,6,2,6,Flo Rida,Wild Ones (Deluxe Version),I Cry,3:43:00
2,0,0,1,85,Mumford & Sons,Babel (Deluxe Edition),Lover's Eyes,5:21:00
4,0,0,1,81,Mumford & Sons,Babel (Deluxe Edition),Whispers In The Dark,3:15:00
9,4,0,2,30,Pitbull,s,Don't Stop The Party,3:26:00
3,0,0,1,84,Mumford & Sons,Babel (Deluxe Edition),Holland Road,4:13:00
3,0,0,1,88,Mumford & Sons,Babel (Deluxe Edition),Ghosts That We Knew,5:39:00
11,5,1,1,3,One Direction,s,Live While We're Young,3:18:00
4,1,1,1,6,Taylor Swift,Red,Red,3:43:00
11,5,1,1,8,Adele,s,Skyfall,4:46:00
11,11,8,2,1,Bruno Mars,Unorthodox Jukebox,Locked Out Of Heaven,3:53:00
11,0,0,1,68,Brad Paisley,s,Southern Comfort Zone,5:20:00
2,0,0,1,74,Kid Cudi,s,Just What I Am,3:48:00
11,0,0,1,50,Gary Allan,s,Every Storm (Runs Out Of Rain),3:45:00
1,0,0,1,91,Glee Cast,s,The Scientist,4:15:00
1,0,0,1,97,Mumford & Sons,Babel (Deluxe Edition),Lover Of The Light,5:14:00
6,0,0,1,89,DJ Drama,Quality Street Music,My Moment,3:20:00
